DistrictId,DistrictName,SubjectName,Grade,Population,Advanced,AdvancedRate,Proficient,ProficientRate,Basic,BasicRate,BelowBasic,BelowBasicRate,ProficiencyDenominator,TestedRate,NonTestedRate
001,BOISE INDEPENDENT DISTRICT,ELA,All Grades,All Students,2615,22.8,3511,30.7,2500,21.8,2828,24.7,11454,96.5,3.5
001,BOISE INDEPENDENT DISTRICT,ELA,All Grades,American Indian or Alaskan Native,,<15,,<30,11,26.8,,<44,,97.6,2.4
001,BOISE INDEPENDENT DISTRICT,ELA,All Grades,Asian or Pacific Islander,186,41.2,121,26.8,55,12.2,90,19.9,452,93.0,7.0
001,BOISE INDEPENDENT DISTRICT,ELA,All Grades,Black / African American,15,3.3,56,12.3,98,21.6,285,62.8,454,86.5,13.5
001,BOISE INDEPENDENT DISTRICT,ELA,All Grades,Native Hawaiian / Other Pacific Islander,,<12,,<26,13,25.5,23,45.1,,94.4,5.6
001,BOISE INDEPENDENT DISTRICT,ELA,All Grades,White,2065,25.3,2755,33.7,1746,21.4,1609,19.7,8175,97.9,2.1
001,BOISE INDEPENDENT DISTRICT,ELA,All Grades,Hispanic or Latino,198,11.7,374,22.2,427,25.3,688,40.8,1687,93.8,6.2
001,BOISE INDEPENDENT DISTRICT,ELA,All Grades,Two Or More Races,143,24.1,184,31.0,150,25.3,117,19.7,594,97.7,2.3
001,BOISE INDEPENDENT DISTRICT,ELA,All Grades,Economically Disadvantaged,420,10.4,823,20.4,1002,24.8,1795,44.4,4040,94.1,5.9
001,BOISE INDEPENDENT DISTRICT,ELA,All Grades,Not Economically Disadvantaged,2195,29.6,2688,36.3,1498,20.2,1033,13.9,7414,97.9,2.1
001,BOISE INDEPENDENT DISTRICT,ELA,All Grades,Students with Disabilities,89,5.3,198,11.8,344,20.5,1045,62.4,1676,95.2,4.8
001,BOISE INDEPENDENT DISTRICT,ELA,All Grades,Students without Disabilities,2526,25.8,3313,33.9,2156,22.0,1783,18.2,9778,96.7,3.3
001,BOISE INDEPENDENT DISTRICT,ELA,All Grades,Male,1166,19.7,1755,29.6,1360,22.9,1646,27.8,5927,96.7,3.3
001,BOISE INDEPENDENT DISTRICT,ELA,All Grades,Female,1449,26.2,1756,31.8,1140,20.6,1182,21.4,5527,96.3,3.7
001,BOISE INDEPENDENT DISTRICT,ELA,All Grades,Migrant,,NSIZE,,NSIZE,,NSIZE,,NSIZE,,83.3,16.7
001,BOISE INDEPENDENT DISTRICT,ELA,All Grades,Homeless,9,3.9,31,13.4,51,22.1,140,60.6,231,70.0,30.0
